run,system,split,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1,avg_len_pred,avg_len_ref,len_ratio_pred_to_ref,k,n_examples
lead3_validation_400,extractive_lead3,validation_full,0.2181068046536796,0.0659641812865497,0.2103521998834499,0.2143024891774892,0.871248993575573,0.8831238302588463,0.8770014847815036,55.1125,46.325,1.1896923907177548,3.0,6369
llm_dpo_qlora_validation_cuda_0_800,SRT+DPO QLoRA,validation_full,0.2351098414125886,0.0878568730414453,0.225666527790413,0.2297818004180091,0.8617472146451474,0.8846057520806789,0.8729501514136792,74.20125,45.60625,1.626997396190215,,800
llm_few_shot_validation_cpu_200,few_shot,validation_full,0.1824357906029207,0.0605654501108221,0.1778369911820968,0.180549703880349,0.8689576238393784,0.8567441403865814,0.8625366133451462,44.865,45.255,0.9913821677162744,,200
llm_few_shot_validation_cuda_500,few_shot,validation_full,0.240124468550773,0.0867088162854181,0.2345512507654324,0.2370481506174986,0.8669253920316696,0.8836315457820892,0.8751173037290573,68.518,45.34,1.5112042346713717,,500
llm_qlora_validation_cuda_500,SRT QLoRA,validation_full,0.2504619473801055,0.0990116023220882,0.2417056516605994,0.2452392410152629,0.8628460558652877,0.884687641620636,0.8735476859807968,71.52,45.34,1.577415086016762,,500
llm_zero_shot_validation_cpu_200,extractive_lead3,validation_full,0.212064190037016,0.0664024805603753,0.2043099394566785,0.2097310370788631,0.8747003155946732,0.8627844989299774,0.868441614806652,46.705,45.255,1.0320406584907744,,200
llm_zero_shot_validation_cuda_500,extractive_lead3,validation_full,0.252879736610214,0.0964461465076554,0.2456477749332227,0.2477107645726197,0.8671674896478653,0.8825865497589112,0.8747395805120468,62.528,45.34,1.3790913101014557,,500
